question,answer
How do i upload my one card student photo?,"After your deposit is paid, you can upload your one card photo. Complete the steps outlined onget your card."
Why do i need to upload a one card student photo to access my timetable?,A student's one card photo completes their student record and confirms that they are a conestoga college student.your one card student photo is also required to print and mail your one card to you. Your one card provides you access to a variety of student services. Learn more about how touse your card.
How do i confirm if i have an approved one card student photo?,"Log into theone card portalusing your conestoga credentials.select the “display card” tab from the menu to view your digital one card.if you do not see your photo available, follow the steps to upload your one card student photo on theget your cardweb page."
What happens after i upload my one card student photo and it is approved?,You will receive an email at each step of the one card student photo upload process to keep you informed.refer toget your cardto review how you will receive your one card.
Do i need to upload a new student photo every term?,"No. After your one card student photo has been uploaded and approved, this will be your one card student photo for the duration of your studies at conestoga college. You are not required to update or renew your photo."
Can i change my one card student photo after it has been approved?,"If your one card student photo was uploaded more than 3 years ago, you may be permitted to provide a new photo. Please email the one card office atonecard@conestogac.on.caand provide additional information about the reason for your request."
I am a new student. How do i get my one card?,Your one card is available to you in both digital and physical form.refer toget your cardto review how you will get your one card.
Why should i put money on my card?,"Condor cash gives you a safe, fast and convenient way to make purchases at all on-campus and select off-campus merchants. Using condor cash allows you to access condor perks, including specials and discounts."
How do i load money on my card?,"Funds can be added to your one card:online through theone card portalusing debit or credit, orat any conestoga bookstore using debit or credit."
What if i have a visa/debit card or master card/debit card?,"Use the interac option on the cash loading portal and if you have difficulty, use the credit card option. The one card office is available to answer questions via phone at 519 748-5220, ext. 3530."
Is condor cash the same thing as print balance?,"No, condor cash and your non-refundable print balance are two different accounts. Condor cash is used for purchasing on campus. Your non-refundable print balance is used for on-campus printing (excluding csi hubs & mt print). Your one card is used to release print jobs in some locations, however, the print job itself is paid for with your non-refundable print balance. At the beginning of each term, your non-refundable print balance is reset. This balance can only be used to pay for printing. The leftover"
Is condor cash the same thing as print balance?,"Balance will be reset if it’s not used. Once your non-refundable print balance reaches zero, print charges will begin deducting from your condor cash funds. Learn more aboutprinting and photocopying on campus."
Where can i use condor cash?,You can usecondor cashat various locations on and off campus.
How do i see the transactions i have made?,Login to theone card portalto view your transactions.
Can i get a refund of my condor cash?,Your condor cash never expires. Condor cash will automatically roll over to the next term.students are permitted to request a refund of their condor cash. Email the one card office atonecard@conestogac.on.cato inquire.
Can i use my one card as a transit pass?,"Students registered at the kitchener - doon, kitchener - downtown, cambridge - fountain street, and waterloo campuses who purchase a 4-month unlimited grt term pass can use their one card as a transit pass. Visit thepublic transit web pagefor more information."
How do i log in to the one card portal?,Students can log in with their conestoga network login and password.parents/others may deposit money into a student’s account using the student number and student date of birth.
What do i do if i receive an error on the one card portal?,"Please try the following methods to troubleshoot:clear your cacheclear your browser historyuse incognito modeuse a desktop/laptoptry firefox or internet explorerif you continue to receive an error message, please take a screen shot of the error you are receiving and email us atonecard@conestogac.on.cawith your screen shot and information about the challenges you are experiencing."
What do i do if my card is lost or stolen?,"Stolen and lost cards should be suspended immediately. For information about how to suspend your card and request a replacement, refer toreplace your card."
Does my card expire?,One cards do not have expiry dates. Our cards are intended to follow students to convocation and beyond. We consider you part of the conestoga community even when an alumni.
Why can’t i put a hole in my card to put it on a lanyard?,"The one card has built-in chip technology and an antennas which allows students to tap and swipe their cards around campus. Putting a hole in the card will cause damage, which may cause the card to malfunction."
Where do i find the terms and conditions of use?,Please see the terms and conditions of use on theuse your cardpage. You acknowledge these terms when logging in to your student portal each year. You also acknowledge these terms when you upload a photo for your one card and when you make your first deposit into your condor cash account.
